occ_group,occ_label,horizon,beta,boot_se,p_value,bh_reject
8,Precision_production_repair,27,-8.723774420271149e-5,0.0004116851551665802,0.908,false
8,Precision_production_repair,28,-0.00020411134921151592,0.000313441612556114,0.524,false
8,Precision_production_repair,29,0.00013321341294290968,0.0003754712334897699,0.596,false
8,Precision_production_repair,30,0.00017972357425069673,0.00031150133875978,0.464,false
8,Precision_production_repair,31,0.00014809654927263368,0.00040228720926783215,0.72,false
8,Precision_production_repair,32,-0.00018565710410535218,0.000348722059089738,0.64,false
8,Precision_production_repair,33,1.7821878397796426e-5,0.0003624303477307068,0.96,false
8,Precision_production_repair,34,0.0002933079625175046,0.0003577993570229413,0.384,false
8,Precision_production_repair,35,0.00038961660316373236,0.0003360506804574408,0.232,false
8,Precision_production_repair,36,-0.00019086234563064685,0.00038929368517375446,0.684,false
9,Machine_operators_transport,0,-0.000321634409515089,0.0004338059385612567,0.456,false
9,Machine_operators_transport,1,-0.00021791347293707362,0.0005559156001033762,0.704,false
9,Machine_operators_transport,2,0.00024805459423265234,0.0005233124498582723,0.624,false
9,Machine_operators_transport,3,0.0006286370964565926,0.0004930735157437062,0.232,false
9,Machine_operators_transport,4,3.773407786555078e-5,0.0005117759973752294,1.0,false
9,Machine_operators_transport,5,-0.000762851673416319,0.0005128550418591004,0.108,false
9,Machine_operators_transport,6,-0.0006982286447665038,0.0006471127107579075,0.26,false
9,Machine_operators_transport,7,-0.00042487726557170703,0.000500373875349242,0.368,false
9,Machine_operators_transport,8,6.640240751228824e-5,0.0005361210334089787,0.832,false
9,Machine_operators_transport,9,-0.00023695023255805093,0.0004956258484291558,0.62,false
9,Machine_operators_transport,10,9.980541901620111e-5,0.0004696062606897726,0.776,false
9,Machine_operators_transport,11,-0.0005051662262565163,0.0004450329152063544,0.3,false
9,Machine_operators_transport,12,-0.0002861739614611795,0.0005888361491377358,0.636,false
9,Machine_operators_transport,13,0.00027701209053911465,0.0005935719179698379,0.56,false
9,Machine_operators_transport,14,0.0004861764434914092,0.0005405264411258926,0.372,false
9,Machine_operators_transport,15,-0.00025735219070062486,0.0006217198770044688,0.716,false
9,Machine_operators_transport,16,-0.0005763248094609715,0.0006407802565714044,0.368,false
9,Machine_operators_transport,17,-0.000717811947732278,0.0006767394418272683,0.26,false
9,Machine_operators_transport,18,-0.0004920656363977228,0.0006834072468993658,0.444,false
9,Machine_operators_transport,19,-0.0008028497018873574,0.0006458027372732206,0.216,false
9,Machine_operators_transport,20,-0.0003918569549855315,0.0005554859803881004,0.532,false
9,Machine_operators_transport,21,-0.00023912632791682343,0.0005232314161158742,0.692,false
9,Machine_operators_transport,22,-0.0006377833540064324,0.0005061541006026174,0.244,false
9,Machine_operators_transport,23,-0.00019656129414052646,0.0005766469271352234,0.884,false
9,Machine_operators_transport,24,-0.00026366812986521607,0.0005641562242933454,0.684,false
9,Machine_operators_transport,25,0.00013986006260039972,0.000523578538377572,0.716,false
9,Machine_operators_transport,26,-0.00010211350857009376,0.0005923672362563613,0.916,false
9,Machine_operators_transport,27,0.00035263560938930607,0.0005967696798128699,0.544,false
9,Machine_operators_transport,28,-3.8394975639165015e-6,0.0005864864816099783,1.0,false
9,Machine_operators_transport,29,-0.00022908992124255853,0.0007061298748773045,0.76,false
9,Machine_operators_transport,30,0.00017580728754202298,0.000624706459602432,0.7,false
9,Machine_operators_transport,31,-0.00010340580124021517,0.0005619595240730286,0.892,false
9,Machine_operators_transport,32,-0.0005034577056592838,0.0005904697484217851,0.404,false
9,Machine_operators_transport,33,-0.0003059076805224446,0.0005754057506300368,0.62,false
9,Machine_operators_transport,34,-0.0002842310277054239,0.0005553828251361544,0.572,false
9,Machine_operators_transport,35,0.00018829612450547097,0.0004887984905200796,0.7,false
9,Machine_operators_transport,36,-4.245129066320369e-5,0.0005324517289614376,0.976,false
