ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
6,Transportation_utilities,33,8.593976049646882e-5,NaN,0.0011223819540452991,0.904,false
6,Transportation_utilities,34,0.0009585731877973758,NaN,0.0012968636953734462,0.38,false
6,Transportation_utilities,35,0.0010775737682334832,NaN,0.001273975923046984,0.324,false
6,Transportation_utilities,36,0.0025828080506398498,NaN,0.001463486251858325,0.072,false
7,Wholesale_trade,0,-0.0010622209702413695,NaN,0.0019278013676822952,0.556,false
7,Wholesale_trade,1,-0.003909024927273225,NaN,0.0018222876565765272,0.024,false
7,Wholesale_trade,2,0.0005139666818511517,NaN,0.001661477197526116,0.744,false
7,Wholesale_trade,3,-0.0032073239007454827,NaN,0.0018260522352957149,0.064,false
7,Wholesale_trade,4,0.0009233836291945302,NaN,0.00204643441151142,0.636,false
7,Wholesale_trade,5,-0.0023927415330195325,NaN,0.001994699646917708,0.232,false
7,Wholesale_trade,6,0.0002674591080562992,NaN,0.0019791961302364834,0.872,false
7,Wholesale_trade,7,0.0003076804704707698,NaN,0.0020580562199836523,0.896,false
7,Wholesale_trade,8,-0.0011404982593022372,NaN,0.002116067282306627,0.62,false
7,Wholesale_trade,9,-0.0002894196846638159,NaN,0.0017054039296552385,0.904,false
7,Wholesale_trade,10,-0.00015720334308653248,NaN,0.0017999013679771737,0.952,false
7,Wholesale_trade,11,0.0045937235482231015,NaN,0.00190180108585017,0.016,false
7,Wholesale_trade,12,0.0010140701636119568,NaN,0.0019859727031027855,0.616,false
7,Wholesale_trade,13,-0.0009688941037227094,NaN,0.0015657118093121204,0.608,false
7,Wholesale_trade,14,0.0015156630183571268,NaN,0.0018306284360129178,0.388,false
7,Wholesale_trade,15,0.0024194443717434253,NaN,0.00203225666647542,0.176,false
7,Wholesale_trade,16,-0.0023695544125402926,NaN,0.0019354546995169668,0.264,false
7,Wholesale_trade,17,-0.0009940919533561105,NaN,0.0021657717082190324,0.748,false
7,Wholesale_trade,18,0.0013080029959864953,NaN,0.002026860316353338,0.504,false
7,Wholesale_trade,19,-0.003226580387303722,NaN,0.0021064128711929552,0.14,false
7,Wholesale_trade,20,0.0002847322357380204,NaN,0.0022100186004077095,0.852,false
7,Wholesale_trade,21,0.00010265320321523316,NaN,0.0020831255030928576,0.964,false
7,Wholesale_trade,22,-0.001167455919957734,NaN,0.00225625696122079,0.62,false
7,Wholesale_trade,23,-0.0014447155248871815,NaN,0.001914597846322344,0.484,false
7,Wholesale_trade,24,0.000704762653948284,NaN,0.0019496771637936379,0.752,false
7,Wholesale_trade,25,8.708145399695078e-5,NaN,0.00179467461441146,1.0,false
