occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
6,Service,17,0.000410333354327789,0.006087441609538871,0.92,false
6,Service,18,0.0021128440156599555,0.00644116553300514,0.84,false
6,Service,19,0.0035407579459562663,0.005092205796322347,0.512,false
6,Service,20,-0.0005228849795858453,0.005913503036750529,0.888,false
6,Service,21,0.0011625585915676104,0.00598825958534783,0.832,false
6,Service,22,-0.00031103365371980567,0.005214671102139711,0.892,false
6,Service,23,-0.002114887724342314,0.005527568025400755,0.66,false
6,Service,24,-0.0022095384973553883,0.005958396070674057,0.7,false
6,Service,25,-0.004706252388019783,0.0057433535321391935,0.384,false
6,Service,26,-0.0010544172990818556,0.005857931716926201,0.8,false
6,Service,27,-0.00100601017913756,0.0056218128463789195,0.792,false
6,Service,28,0.005090875807495317,0.006109153159778929,0.436,false
6,Service,29,1.6848135184312744e-5,0.005791809318753392,1.0,false
6,Service,30,-0.003542852956597443,0.006017816560294111,0.572,false
6,Service,31,0.00026648894148069836,0.006891624878573564,0.916,false
6,Service,32,-0.002940373301306179,0.005892595384524341,0.616,false
6,Service,33,-0.0017152134274157694,0.005565823238949831,0.66,false
6,Service,34,0.0005150200543151192,0.005866887255855425,1.0,false
6,Service,35,-0.0021856062400231534,0.00576146570173314,0.732,false
6,Service,36,-0.0069652676487887795,0.005531956437297548,0.152,false
7,Farming_forestry_construction,0,-0.007957064120264768,0.005926223994363299,0.196,false
7,Farming_forestry_construction,1,-0.008711650500402507,0.007055975187108493,0.212,false
7,Farming_forestry_construction,2,-0.0048197675258248515,0.00694386739268061,0.496,false
7,Farming_forestry_construction,3,-0.006065414000884524,0.006268165194825739,0.352,false
7,Farming_forestry_construction,4,-0.00037593104835511383,0.006842522374105835,0.948,false
7,Farming_forestry_construction,5,-0.00686768702729235,0.006417811106246287,0.284,false
7,Farming_forestry_construction,6,0.0010425783794737273,0.0066807626683865005,0.856,false
7,Farming_forestry_construction,7,0.003214396563235799,0.006452560363198217,0.572,false
7,Farming_forestry_construction,8,0.004958658518683758,0.005939951838268057,0.408,false
7,Farming_forestry_construction,9,-0.0018786610918207494,0.005690203489069457,0.788,false
7,Farming_forestry_construction,10,-0.0009389702761343708,0.0072598580899159906,0.9,false
7,Farming_forestry_construction,11,-0.002215965699637179,0.005998533495748884,0.668,false
7,Farming_forestry_construction,12,-0.0063585801259175,0.00718337509820618,0.372,false
7,Farming_forestry_construction,13,-0.016893462630218452,0.007536266916843661,0.024,false
7,Farming_forestry_construction,14,0.0010838488140802079,0.0064523554756031245,0.8,false
7,Farming_forestry_construction,15,-0.005685571449298952,0.006268393690907874,0.352,false
7,Farming_forestry_construction,16,-0.0013502439787005493,0.006858793288676427,0.84,false
7,Farming_forestry_construction,17,-0.0010920281426116953,0.006988790864160978,0.908,false
7,Farming_forestry_construction,18,0.001970431934708877,0.006991927723744441,0.824,false
7,Farming_forestry_construction,19,0.003171617455457807,0.006501478265508307,0.612,false
7,Farming_forestry_construction,20,0.004369884431199735,0.006459362953118802,0.536,false
7,Farming_forestry_construction,21,-0.0036043921631009022,0.005941887524573189,0.58,false
7,Farming_forestry_construction,22,-0.003505268416735157,0.007158343278425062,0.636,false
